325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum,Typ,Uppgift,#M,#O,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 09:18:45,create,−2,uppgift,4,3,6,3m,42.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 09:12:49,create,−2,uppgift,3,14,28,5m,51.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 09:12:05,create,−2,uppgift,3,0,.,0,0m,42.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 09:03:38,create,−1,uppgift,7,14,14,8m,18.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 07:23:59,create,−1,uppgift,7,2,2,Om,17.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 07:23:55,create,−2,uppgift,3,0,0,Om,2.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 07:23:49,create,−2,uppgift,5,0...0...0m,4.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09 07:23:27,create,−2,uppgift,4,0,0,0m,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08 07:45:19,create,−1,uppgift,3,0,0,24m,52.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08 07:45:16,create,−1,uppgift,6,0...0...0m,1.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08 07:44:21,create,−1,uppgift,6,0...0..,0m,9.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08 07:42:48,create,−1,uppgift,5,0,0,1m,31.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08 07:42:22,create,−1,uppgift,7,1,.,1,.,0m,24.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08 07:42:01,create,−1,uppgift,1,0,.,0,.,0m,17.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:35:00,create,−2,uppgift,2,0,.,0,0m,7.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:34:52,create,−2,uppgift,3,0,.,0,...,0m,5.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:34:52,create,−2,uppgift,3,0,0,0m,5.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:34:29,create,−2,uppgift,6,0,0,0m,2.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:34:25,create,−2,uppgift,5,0,.,0,Om,3,5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:34:22,create,2,-,uppgift,4,0,.,0,0m,2.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:34:17,create,−2,uppgift,5,0,0,0m,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:34:00,create,−2,uppgift,4,0,0,Om,14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:32:06,create,−1,uppgift,7,1,.,1,.,1m,33.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:30:51,create,−1,uppgift,5,0,0,0m,39.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:30:25,create,−1,uppgift,6,0,0,.,0m,21.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:28:12,create,−1,uppgift,5,1,1,2m,11.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:27:54,create,−2,uppgift,1,0,.,0,0m,1.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:27:19,create,−2,uppgift,2,0,0,0m,34.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:26:57,create,−2,uppgift,3,0,0,0m,20.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:26:54,create,2,-,uppgift,4,0,.,0,.,0m,1.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:26:41,create,−1,uppgift,7,1,.,1,.,0m,6.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:26:17,create,2,-,uppgift,1,1,2,0m,21.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:25:38,create,−1,uppgift,7,0,0,.,0m,31.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:25:36,create,1,-,uppgift,3,0,0,Om,1.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:25:33,create,−1,uppgift,2,0,.,0,.,0m,1.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 15:25:30,create,−1,uppgift,1,0,.,0,Om,2.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 12:26:16,create,1,uppgift,7,17,17,6m,58.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 12:21:54,create,−2,uppgift,3,11,22,4m,18.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-07 12:18:23,create,2,-,uppgift,2,6,12,3m,28.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 09:28:28,create,−2,uppgift,3,0,0,0m,5.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 09:23:51,create,2,-,uppgift,2,11,22,4m,36.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 09:19:26,create,−2,uppgift,3,8,16,4m,23.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 09:13:43,create,−1,uppgift,7,14,14,5m,39.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 09:11:09,create,−1,uppgift,6,5,5,2m,32.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 09:09:41,create,−1,uppgift,4,0,0,.,1m,26.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04 09:08:38,create,−1,uppgift,2,1,.,1,.,1m,1.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 11:32:53,create,−1,uppgift,7,13,13,50m,35.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 08:11:24,create,−1,uppgift,7,0,.,0,.,7m,43.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 08:11:19,create,−2,uppgift,1,0,0,.,0m,1.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 08:10:26,create,−2,uppgift,2,0,0,0m,51.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 08:10:08,create,−1,uppgift,5,0...0...0m,15.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 08:10:08,create,−1,uppgift,5,0,.,0,0m,15.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 08:09:02,create,−1,uppgift,6,0,.,0,.,1m,4.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 07:59:12,create,−2,uppgift,2,0,0,.,0m,2.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03 06:53:44,create,−1,uppgift,7,0,0,5m,27.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 09:26:14,create,−1,uppgift,5,1,.,1,.,1m,12.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 09:25:03,create,−1,uppgift,4,2,2,1m,9.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 09:23:38,create,−1,uppgift,3,4,4,1m,23.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 09:23:01,create,−1,uppgift,7,1,.,1,Om,34.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 09:16:04,create,−2,uppgift,2,12,24,6m,54.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 09:13:32,create,−2,uppgift,1,3,6,2m,30.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 09:06:24,create,−1,uppgift,7,20,20,7m,4.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-02 08:59:29,create,−1,uppgift,6,17,17,6m,52.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26 11:18:44,create,−1,uppgift,5,11,11,3m,21.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 10:55:24,create,−1,uppgift,7,0...0,Om,5.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 10:47:42,create,−1,uppgift,5,7,7,3m,8.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 07:03:27,create,−1,uppgift,5,0,0,2m,26.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 07:02:44,create,−1,uppgift,7,0,0,0m,4.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 07:01:29,create,−1,uppgift,5,0,0,1m,12.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27 10:53:09,create,−1,uppgift,1,0,.,0,0m,1.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27 07:04:58,create,−1,uppgift,6,0,0,.,8m,16.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27 07:02:10,create,−1,uppgift,5,0,0,2m,47.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27 07:02:06,create,−1,uppgift,1,0,.,0,0m,2.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26 11:29:23,create,−2,uppgift,1,9,18,33m,48.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26 11:22:07,create,−1,uppgift,6,14,14,7m,10.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 09:26:13,create,−1,uppgift,6,12,12,45m,10.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 09:22:36,create,−1,uppgift,5,7,7,3m,32.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 09:19:34,create,−1,uppgift,6,9,9,3m,0.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 09:16:24,create,−1,uppgift,6,7,.,7,3m,5.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 09:13:26,create,−1,uppgift,5,5,5,2m,44.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-25 09:11:17,create,−1,uppgift,4,2,2,1m,59.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 10:51:01,create,−1,uppgift,6,15,15,4m,1.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 10:45:09,create,−1,uppgift,5,6,6,2m,30.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 10:43:00,create,−1,uppgift,4,5,5,2m,7.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 07:01:23,create,−1,uppgift,4,0,0,Om,5.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19 11:28:12,create,1-nnnift,57,7,4m,05c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 10:47:42,create,1,-,uppgift,5,7,.,7,3m,8.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 10:45:09,create,−1,uppgift,5,6,6,2m,30.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 10:43:00,create,−1,uppgift,4,5,5,2m,7.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 07:03:27,create,1,-,uppgift,5,0,0,.,2m,26.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 07:02:44,create,−1,uppgift,7,0,.,0,0m,4.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 07:01:29,create,1,-,uppgift,5,0,.,0,.,1m,12.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20 07:01:23,create,−1,uppgift,4,0,.,0,Om,5.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19 11:28:12,create,1,-,uppgift,5,7,7,4m,0.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19 11:21:53,create,1,-,uppgift,4,15,15,6m,7.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19 11:19:23,create,1,-,uppgift,3,8,8,2m,13.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18 10:50:41,create,−1,uppgift,4,14,14,8m,16.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18 10:47:07,create,−1,uppgift,3,9,9,3m,29.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18 10:44:23,create,1,-,uppgift,2,7,7,2m,38.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18 10:42:57,create,−1,uppgift,1,4,4,1m,18.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15 00:12:27,create,1,-,uppgift,7,1,1,0m,34.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 09:27:20,create,1,-,uppgift,3,6,6,1m,35.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 09:27:02,create,−1,uppgift,3,1,.,1,.,0m,10.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 09:26:02,create,−1,uppgift,4,3,3,0m,58.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 09:14:21,create,−1,uppgift,4,23,23,11m,36.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 09:10:30,create,1,-,uppgift,3,8,8,3m,44.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 09:07:47,create,−1,uppgift,2,6,6,2m,39.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 09:06:24,create,−1,uppgift,1,4,4,1m,20.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12 11:29:23,create,1,-,uppgift,4,6,6,4m,2.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12 11:25:28,create,−1,uppgift,3,9,9,3m,50.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12 11:25:16,create,1,-,uppgift,3,1,1,0m,6.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12 11:21:58,create,−1,uppgift,2,6,6,3m,12.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12 11:21:01,create,1,-,uppgift,1,2,2,0m,55.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12 11:20:10,create,1,-,uppgift,1,2,2,Om,48.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11 09:29:03,create,1,-,uppgift,3,4,4,3m,9.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11 09:24:49,create,−1,uppgift,3,6,6,4m,11.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11 09:19:52,create,1,-,uppgift,2,6,6,4m,52.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11 09:16:37,create,−1,uppgift,1,4,4,3m,11.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10 15:11:06,create,−1,uppgift,1,2,2,Om,14.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
